Username,Major,Fname,Lname,DOB,Classification,PFP
iLovePasta,Culinary Arts,Alfredo,Linguini,3/27/2000,Graduate,
TouilleRat,Criminal Analysis,Remy,Littlechef,10/28/1962,Freshman,
youCantCook,Linguistics,Colette,Tatou,7/3/2001,Senior,
kaciedance,Computer Science,Kacie,Yee,5/9/2003,Senior,
thatOneRat,Graphic Design,Trash,Rat,2/3/2005,Sophomore,
TheAntonagonist,Communications,Anton,Ego,5/2/1602,Graduate,
iLoveNapkins,Criminal Analysis,Emile,Bigchef,10/10/2010,Freshman,
anyoneCanChef,Culinary Arts,Auguste,Gusteau,9/26/2002,Freshman,
BetterThanGusteau,Animal science,Skinner,McSkinners,1/1/2020,Junior,
gymrat,Environmental science,Health,Inspector,4/20/2025,Masters,
